"rooms","bathroom","square_meters","lift","terrace","neighborhood","square_meters_price","price","housing type"
2,1,100,1,0,"Sants-Montjuïc",9.3,930,"flat"
3,3,170,1,0,"Sarria-Sant Gervasi",16.47,2800,"flat"
3,2,100,1,0,"Les Corts",11.5,1150,"flat"
1,1,63,1,0,"Sarria-Sant Gervasi",11.9,750,"flat"
3,2,85,1,0,"Sarria-Sant Gervasi",27.06,2300,"flat"
2,2,80,1,0,"Sant Andreu",12.65,1012,"flat"
3,2,140,1,0,"Sarria-Sant Gervasi",17.86,2500,"flat"
3,1,150,0,1,"Sant Andreu",9.81,1472,"flat"
1,1,45,1,0,"Horta- Guinardo",17.33,780,"flat"
1,1,91,1,0,"Ciutat Vella",15.38,1400,"flat"
2,2,80,1,1,"Sant Martí",23.44,1875,"flat"
2,2,105,1,0,"Ciutat Vella",12.3,1292,"flat"
1,1,37,0,0,"Ciutat Vella",25.68,950,"flat"
3,3,132,1,1,"Eixample",21.97,2900,"flat"
1,1,40,0,0,"Ciutat Vella",33.75,1350,"flat"
1,1,90,0,0,"Gràcia",16.67,1500,"flat"
1,1,38,0,0,"Eixample",17.11,650,"flat"
1,1,55,1,0,"Sarria-Sant Gervasi",20.91,1150,"flat"
1,1,43,1,0,"Sarria-Sant Gervasi",18.6,800,"flat"
1,1,70,0,0,"Sarria-Sant Gervasi",15.71,1100,"flat"
2,3,130,0,1,"Sant Martí",19.23,2500,"flat"
1,1,35,1,0,"Ciutat Vella",18.57,650,"flat"
1,1,50,0,0,"Ciutat Vella",14.9,745,"flat"
1,2,80,1,0,"Sants-Montjuïc",10,800,"flat"
1,1,47,0,0,"Sarria-Sant Gervasi",24.47,1150,"flat"
4,3,256,1,1,"Sarria-Sant Gervasi",17.58,4500,"flat"
1,1,48,1,0,"Ciutat Vella",17.71,850,"flat"
1,1,55,1,0,"Ciutat Vella",23.64,1300,"flat"
3,2,100,1,0,"Gràcia",55,5500,"flat"
1,1,40,1,0,"Ciutat Vella",21.25,850,"flat"
3,3,120,1,0,"Sarria-Sant Gervasi",20,2400,"flat"
5,4,240,1,0,"Sarria-Sant Gervasi",10,2400,"flat"
2,2,115,0,1,"Gràcia",10,1150,"flat"
2,2,85,1,1,"Eixample",17.65,1500,"flat"
1,1,50,0,0,"Sarria-Sant Gervasi",15,750,"flat"
1,1,45,1,0,"Ciutat Vella",24.44,1100,"flat"
1,1,41,1,0,"Sants-Montjuïc",15.24,625,"flat"
4,2,185,1,0,"Eixample",14.32,2650,"flat"
1,1,38,1,1,"Eixample",18.42,700,"flat"
4,2,180,1,0,"Les Corts",10.83,1950,"flat"
1,1,40,0,0,"Gràcia",16.25,650,"flat"
3,2,120,1,0,"Sarria-Sant Gervasi",33.33,4000,"flat"
2,1,70,0,0,"Ciutat Vella",14.29,1000,"flat"
1,1,50,1,0,"Eixample",16,800,"flat"
3,2,80,1,1,"Eixample",57.5,4600,"flat"
1,1,26,0,0,"Sant Martí",24.23,630,"flat"
1,1,60,0,0,"Sants-Montjuïc",12.83,770,"flat"
1,1,65,0,1,"Sant Martí",15.38,1000,"flat"
2,1,105,1,0,"Sant Martí",9.52,1000,"flat"
2,2,80,1,0,"Nou Barris",9.38,750,"flat"
1,1,30,0,0,"Ciutat Vella",19.67,590,"flat"
1,1,75,0,1,"Sarria-Sant Gervasi",14.67,1100,"flat"
4,6,225,1,0,"Sarria-Sant Gervasi",23.56,5300,"flat"
1,1,50,1,0,"Eixample",17,850,"flat"
1,1,22,1,0,"Eixample",29.55,650,"flat"
1,1,32,1,0,"Ciutat Vella",14.84,475,"flat"
1,2,81,1,0,"Ciutat Vella",13.58,1100,"flat"
1,1,35,1,0,"Sant Martí",20.71,725,"flat"
1,2,85,0,0,"Sants-Montjuïc",9.06,770,"flat"
1,1,58,1,0,"Eixample",12.93,750,"flat"
1,1,50,1,0,"Eixample",18.5,925,"flat"
3,2,86,0,0,"Sants-Montjuïc",10.76,925,"flat"
5,2,103,0,1,"Sant Andreu",8.25,850,"flat"
2,3,65,1,0,"Ciutat Vella",16.15,1050,"flat"
1,1,33,1,0,"Ciutat Vella",24.24,800,"flat"
1,1,45,1,0,"Sant Martí",18.56,835,"flat"
2,2,89,1,1,"Sarria-Sant Gervasi",14.04,1250,"flat"
3,2,85,1,1,"Eixample",52.94,4500,"flat"
2,1,85,1,0,"Gràcia",35.29,3000,"flat"
1,1,38,0,0,"Ciutat Vella",15.79,600,"flat"
1,2,122,0,0,"Gràcia",12.89,1573,"flat"
2,2,90,1,0,"Sant Martí",13.89,1250,"flat"
3,2,140,1,0,"Sarria-Sant Gervasi",39.29,5500,"flat"
1,1,55,1,0,"Eixample",17.27,950,"flat"
1,1,58,1,0,"Eixample",19.83,1150,"flat"
1,1,35,1,0,"Ciutat Vella",17.14,600,"flat"
3,2,105,0,0,"Les Corts",11.05,1160,"flat"
3,2,100,1,0,"Les Corts",11.8,1180,"flat"
1,1,54,1,0,"Sarria-Sant Gervasi",17.59,950,"flat"
2,2,290,1,1,"Eixample",20.69,6000,"flat"
3,3,170,0,1,"Sant Martí",15.29,2600,"flat"
2,2,70,1,0,"Ciutat Vella",14.29,1000,"flat"
1,1,50,1,0,"Sarria-Sant Gervasi",24,1200,"flat"
1,1,100,1,0,"Sant Martí",9.5,950,"flat"
1,2,63,1,0,"Sarria-Sant Gervasi",17.38,1095,"flat"
2,1,78,1,0,"Horta- Guinardo",11.54,900,"flat"
1,1,80,0,0,"Ciutat Vella",10.31,825,"flat"
1,1,50,1,0,"Ciutat Vella",15.9,795,"flat"
2,2,95,1,0,"Ciutat Vella",13.6,1292,"flat"
1,1,50,1,0,"Sant Martí",14.52,726,"flat"
4,2,150,1,0,"Sant Martí",6.33,950,"flat"
2,1,50,1,0,"Ciutat Vella",19,950,"flat"
2,2,75,1,0,"Eixample",23.33,1750,"flat"
4,6,250,1,1,"Sarria-Sant Gervasi",21.2,5300,"flat"
1,2,41,0,0,"Ciutat Vella",29.27,1200,"flat"
2,2,90,0,0,"Eixample",29.44,2650,"flat"
1,1,36,0,0,"Ciutat Vella",25,900,"flat"
1,1,30,1,0,"Les Corts",22.83,685,"flat"
1,1,151,1,0,"Sants-Montjuïc",6.56,990,"flat"
2,2,80,1,0,"Sants-Montjuïc",11.88,950,"flat"
3,2,78,1,0,"Sant Martí",15.38,1200,"flat"
3,3,280,0,0,"Sarria-Sant Gervasi",4.91,1375,"flat"
1,1,45,1,0,"Gràcia",15.56,700,"flat"
2,2,318,1,1,"Ciutat Vella",18.87,6000,"flat"
1,1,102,1,0,"Sants-Montjuïc",10.78,1100,"flat"
2,2,66,1,0,"Ciutat Vella",15.15,1000,"flat"
3,4,350,1,0,"Les Corts",11.43,4000,"flat"
2,2,60,1,0,"Horta- Guinardo",13.33,800,"flat"
5,2,179,0,0,"Ciutat Vella",15.36,2750,"flat"
3,1,93,1,1,"Sants-Montjuïc",15.05,1400,"flat"
1,1,53,0,0,"Ciutat Vella",15.57,825,"flat"
2,1,115,1,0,"Sants-Montjuïc",8.26,950,"flat"
1,2,55,0,0,"Ciutat Vella",13.18,725,"flat"
3,2,80,1,1,"Eixample",20,1600,"flat"
3,1,57,0,1,"Ciutat Vella",14.75,780,"flat"
4,2,91,1,0,"Ciutat Vella",34.3,2700,"flat"
2,2,58,0,1,"Les Corts",12.8,680,"flat"
2,2,61,0,0,"Sant Martí",17.42,1100,"flat"
3,2,97,1,0,"Les Corts",13.97,1360,"flat"
3,2,73,1,0,"Ciutat Vella",13.83,1150,"flat"
3,2,91,1,0,"Horta- Guinardo",11.05,1000,"flat"
1,1,109,1,0,"Eixample",9.13,1100,"flat"
2,2,83,1,1,"Les Corts",15.74,1100,"flat"
3,3,139,1,0,"Eixample",16.23,2400,"flat"
2,1,55,1,0,"Ciutat Vella",15.96,945,"flat"
5,2,181,0,0,"Horta- Guinardo",16.85,2750,"flat"
1,2,68,0,0,"Eixample",18.44,1150,"flat"
4,3,172,1,1,"Sant Martí",16.2,2800,"flat"
2,1,69,1,0,"Sarria-Sant Gervasi",17.25,1200,"flat"
3,2,146,1,0,"Gràcia",16.7,2300,"flat"
2,1,61,0,0,"Sants-Montjuïc",18.13,1250,"flat"
2,1,79,1,0,"Gràcia",10.55,900,"flat"
1,1,32,1,1,"Les Corts",25.68,770,"flat"
3,2,104,1,1,"Ciutat Vella",37.38,4600,"flat"
1,1,98,0,0,"Les Corts",11.46,1100,"flat"
1,1,45,1,0,"Sants-Montjuïc",30.07,1400,"flat"
2,1,59,0,0,"Eixample",14.55,800,"flat"
3,2,79,1,1,"Eixample",55.79,4500,"flat"
2,1,42,1,0,"Sarria-Sant Gervasi",15.3,685,"flat"
3,2,109,0,0,"Sarria-Sant Gervasi",25.64,2900,"flat"
1,1,58,1,0,"Sarria-Sant Gervasi",16.54,950,"flat"
3,2,85,0,1,"Eixample",60.02,4600,"flat"
2,1,87,1,1,"Les Corts",14.21,1100,"flat"
3,1,65,1,0,"Sant Martí",12.54,925,"flat"
3,2,85,1,0,"Eixample",9.96,1000,"flat"
2,3,83,0,0,"Les Corts",18.37,1400,"flat"
1,1,91,0,1,"Sarria-Sant Gervasi",10.33,980,"flat"
1,1,78,0,1,"Sarria-Sant Gervasi",13.95,1100,"flat"
1,1,47,1,0,"Eixample",19.64,900,"flat"
2,1,110,1,0,"Les Corts",20.43,2200,"flat"
1,1,50,1,1,"Sarria-Sant Gervasi",15.63,800,"flat"
2,2,57,0,0,"Horta- Guinardo",22.57,1562,"flat"
2,1,82,1,0,"Sants-Montjuïc",11.32,800,"flat"
5,3,249,1,1,"Eixample",7.22,1900,"flat"
2,1,73,0,0,"Nou Barris",12.42,950,"flat"
2,1,323,1,1,"Sant Martí",18.33,6000,"flat"
3,2,94,1,0,"Les Corts",11.62,1100,"flat"
3,2,112,1,1,"Ciutat Vella",18.6,2200,"flat"
1,1,42,1,0,"Sant Martí",18.49,780,"flat"
1,1,54,1,0,"Sant Andreu",22.53,1300,"flat"
1,1,46,1,0,"Les Corts",15.3,1800,"flat"
1,1,51,1,0,"Les Corts",19.74,950,"flat"
2,1,67,1,0,"Nou Barris",15.69,1050,"flat"
1,2,160,0,1,"Sarria-Sant Gervasi",10.85,1950,"flat"
5,2,151,1,1,"Sarria-Sant Gervasi",13.98,2300,"flat"
1,1,52,0,0,"Eixample",14.34,825,"flat"
1,1,50,0,0,"Sants-Montjuïc",15.38,745,"flat"
2,1,40,0,0,"Sarria-Sant Gervasi",17.03,695,"flat"
1,1,45,0,0,"Sarria-Sant Gervasi",22.03,1150,"flat"
1,1,74,1,1,"Sants-Montjuïc",42.6,2800,"flat"
4,2,77,1,0,"Sant Martí",32.11,2700,"flat"
1,1,52,1,0,"Eixample",20.91,1150,"flat"
1,1,50,0,1,"Sarria-Sant Gervasi",22.78,1150,"flat"
3,2,127,1,0,"Nou Barris",14.82,2300,"flat"
2,1,50,1,1,"Ciutat Vella",14.19,740,"flat"
2,1,79,0,0,"Ciutat Vella",13.27,895,"flat"
3,3,154,0,1,"Eixample",15.77,2600,"flat"
3,1,77,1,0,"Eixample",12.6,875,"flat"
1,1,46,1,0,"Ciutat Vella",18.35,900,"flat"
3,2,94,1,0,"Gràcia",12.18,1200,"flat"
4,3,272,1,1,"Horta- Guinardo",17.22,4500,"flat"
3,2,141,1,0,"Sant Martí",16.62,2300,"flat"
3,3,142,0,1,"Eixample",18.11,2500,"flat"
4,1,81,1,0,"Sarria-Sant Gervasi",18.72,1400,"flat"
4,2,104,0,0,"Les Corts",14.36,1400,"flat"
4,1,63,0,0,"Sarria-Sant Gervasi",12.86,850,"flat"
3,2,92,1,0,"Eixample",11.48,1200,"flat"
3,2,111,1,0,"Gràcia",15.3,1000,"flat"
4,2,148,1,0,"Sant Martí",9.82,1450,"flat"
3,1,58,1,0,"Sant Martí",14.19,950,"flat"
4,2,97,1,0,"Les Corts",11.12,1000,"flat"
3,1,77,1,0,"Sants-Montjuïc",15.3,865,"flat"
2,1,34,0,0,"Eixample",46.44,1650,"flat"
2,3,65,1,0,"Nou Barris",14.77,1050,"flat"
2,2,83,0,0,"Eixample",15.3,925,"flat"
3,2,73,1,1,"Sant Andreu",23.53,1990,"flat"
4,2,78,0,0,"Eixample",30.53,2700,"flat"
3,3,179,1,1,"Sant Martí",18.42,3000,"flat"
1,1,73,1,0,"Ciutat Vella",21.41,975,"flat"
2,3,85,0,0,"Eixample",16.66,1400,"flat"
2,2,78,1,1,"Eixample",12.86,900,"flat"
1,2,83,1,0,"Les Corts",14.89,1100,"flat"
4,2,80,1,0,"Eixample",32.64,2700,"flat"
2,1,66,0,0,"Ciutat Vella",14.91,1050,"flat"
1,2,83,1,0,"Nou Barris",10.71,800,"flat"
4,2,171,1,0,"Sant Andreu",11.71,1950,"flat"
2,1,108,1,0,"Eixample",15.3,1800,"flat"
2,1,76,1,0,"Sants-Montjuïc",16.11,1390,"flat"
1,1,52,1,0,"Sarria-Sant Gervasi",16.31,850,"flat"
1,1,49,1,0,"Gràcia",15.17,700,"flat"
1,2,74,1,0,"Sarria-Sant Gervasi",14.44,1100,"flat"
4,2,111,1,0,"Horta- Guinardo",11.75,1300,"flat"
4,2,73,1,0,"Eixample",13.44,1400,"flat"
2,2,85,1,1,"Sarria-Sant Gervasi",58.05,4600,"flat"
4,3,208,1,0,"Sarria-Sant Gervasi",10.2,2200,"flat"
3,2,99,1,0,"Nou Barris",12.52,1290,"flat"
3,1,74,0,0,"Gràcia",11.69,850,"flat"
2,2,85,1,1,"Ciutat Vella",20.41,2000,"flat"
3,2,81,1,0,"Eixample",14.46,1200,"flat"
1,1,41,0,0,"Ciutat Vella",15.3,745,"flat"
1,1,60,1,0,"Sant Martí",24.14,1300,"flat"
3,1,55,0,0,"Eixample",15.3,850,"flat"
2,2,66,0,0,"Eixample",34.43,2200,"flat"
2,1,73,1,0,"Eixample",15.32,1150,"flat"
1,1,69,0,0,"Ciutat Vella",12.76,790,"flat"
1,1,51,0,0,"Sant Martí",17.89,850,"flat"
3,1,83,1,0,"Les Corts",9.94,990,"flat"
2,2,125,1,1,"Gràcia",9.67,1200,"flat"
1,1,37,1,0,"Ciutat Vella",23.22,868,"flat"
2,1,59,1,0,"Sants-Montjuïc",14.45,820,"flat"
1,1,76,0,0,"Eixample",22.62,1626,"flat"
4,3,162,1,0,"Eixample",16.66,2300,"flat"
1,1,28,0,0,"Eixample",25.87,630,"flat"
3,2,80,1,0,"Les Corts",15.3,2700,"flat"
1,1,41,0,1,"Eixample",18.31,750,"flat"
4,1,143,1,1,"Sarria-Sant Gervasi",15.3,3000,"flat"
3,2,87,1,1,"Ciutat Vella",13.21,1175,"flat"
2,2,113,1,1,"Horta- Guinardo",15.3,1795,"flat"
3,2,141,1,0,"Ciutat Vella",18.82,2500,"flat"
1,1,53,0,0,"Eixample",17.85,1000,"flat"
3,3,139,1,0,"Ciutat Vella",16.91,2400,"flat"
2,2,70,1,0,"Ciutat Vella",27.42,2000,"flat"
2,2,77,1,0,"Eixample",15.9,1100,"flat"
3,2,91,1,0,"Eixample",32.63,2700,"flat"
3,1,85,1,1,"Gràcia",12.63,1150,"flat"
2,1,54,1,0,"Eixample",16.71,925,"flat"
4,2,89,1,0,"Ciutat Vella",31.95,2700,"flat"
1,1,41,1,0,"Sarria-Sant Gervasi",23.02,995,"flat"
3,2,95,1,0,"Sant Andreu",56.21,5500,"flat"
2,1,45,1,1,"Eixample",64,3100,"flat"
2,1,73,1,0,"Gràcia",13.25,1000,"flat"
1,1,165,1,0,"Eixample",6.96,990,"flat"
2,1,59,1,0,"Horta- Guinardo",25.12,1295,"flat"
1,1,31,0,1,"Ciutat Vella",94.64,2630,"flat"
4,2,108,0,0,"Ciutat Vella",11.15,1436,"flat"
1,1,48,0,0,"Gràcia",24.29,1200,"flat"
3,2,73,0,0,"Eixample",34.73,3862,"flat"
1,1,52,1,1,"Eixample",15.76,850,"flat"
5,2,150,1,1,"Sarria-Sant Gervasi",9.36,1375,"flat"
3,1,82,1,0,"Eixample",10.97,800,"flat"
1,1,38,1,0,"Eixample",23.2,950,"flat"
5,5,244,1,1,"Sant Martí",17.48,4900,"flat"
1,1,53,1,0,"Ciutat Vella",16.7,950,"flat"
3,2,84,0,1,"Sants-Montjuïc",54.43,4600,"flat"
3,3,111,1,1,"Gràcia",19.04,2400,"flat"
2,2,88,1,0,"Sarria-Sant Gervasi",15.05,1175,"flat"
4,2,96,0,0,"Les Corts",10.72,1200,"flat"
2,2,84,1,0,"Horta- Guinardo",13,950,"flat"
2,1,50,1,0,"Sarria-Sant Gervasi",19.02,875,"flat"
2,1,68,0,0,"Ciutat Vella",11.64,800,"flat"
2,2,56,0,0,"Sarria-Sant Gervasi",39.06,2255,"flat"
3,2,184,1,0,"Eixample",13.27,2520,"flat"
1,1,48,1,1,"Sants-Montjuïc",14.6,700,"flat"
2,1,57,1,0,"Gràcia",13.04,790,"flat"
2,1,63,0,0,"Sant Martí",12.37,900,"flat"
3,2,73,1,0,"Les Corts",11.39,1150,"flat"
3,2,99,1,0,"Sarria-Sant Gervasi",51.73,5500,"flat"
1,1,55,1,0,"Eixample",18.5,850,"flat"
3,1,104,1,0,"Sant Martí",9.62,950,"flat"
3,2,91,1,0,"Eixample",26.84,2300,"flat"
3,3,147,0,0,"Ciutat Vella",18.41,2400,"flat"
3,2,90,1,0,"Sant Martí",15.3,1150,"flat"
2,1,70,1,0,"Gràcia",13.88,850,"flat"
3,3,73,1,0,"Les Corts",18.6,2400,"flat"
1,1,61,1,0,"Ciutat Vella",15.4,900,"flat"
3,2,62,1,1,"Gràcia",15.1,1045,"flat"
1,1,62,1,0,"Ciutat Vella",13.3,790,"flat"
1,1,36,1,0,"Eixample",24.7,800,"flat"
2,1,54,0,0,"Gràcia",16.11,900,"flat"
2,2,79,1,0,"Ciutat Vella",21.23,1875,"flat"
2,1,95,0,0,"Sants-Montjuïc",17.33,1500,"flat"
2,1,55,1,0,"Eixample",14.72,750,"flat"
1,1,65,1,0,"Eixample",16.34,1050,"flat"
2,1,41,0,0,"Sants-Montjuïc",18.38,825,"flat"
1,1,27,0,0,"Eixample",21.01,625,"flat"
2,2,129,1,1,"Eixample",22.84,2650,"flat"
3,2,72,1,0,"Eixample",15.61,1200,"flat"
2,3,154,1,0,"Eixample",13.5,1850,"flat"
4,2,125,0,0,"Les Corts",9.64,1208,"flat"
3,2,94,0,0,"Eixample",11.09,1025,"flat"
1,1,73,1,0,"Nou Barris",18.04,1250,"flat"
2,2,89,1,1,"Eixample",17.71,1500,"flat"
2,1,36,1,0,"Sants-Montjuïc",21.39,833,"flat"
1,1,42,1,0,"Eixample",20.23,750,"flat"
3,2,58,1,0,"Horta- Guinardo",19.4,1030,"flat"
3,2,111,1,0,"Eixample",12.35,1200,"flat"
1,1,56,1,1,"Eixample",13.1,750,"flat"
2,1,71,0,0,"Eixample",25.83,1654,"flat"
2,2,290,1,1,"Eixample",18.49,6000,"flat"
1,1,52,0,0,"Les Corts",15.92,825,"flat"
1,1,89,0,0,"Gràcia",15.2,1500,"flat"
1,1,51,0,0,"Gràcia",24.43,1200,"flat"
1,1,52,1,1,"Gràcia",15.27,750,"flat"
2,2,69,1,0,"Gràcia",14.24,1000,"flat"
2,2,73,1,0,"Sarria-Sant Gervasi",13,1000,"flat"
3,2,64,1,1,"Sarria-Sant Gervasi",17.1,1100,"flat"
5,2,108,0,1,"Ciutat Vella",8.68,850,"flat"
3,2,73,0,1,"Horta- Guinardo",8.47,995,"flat"
2,1,62,1,0,"Sarria-Sant Gervasi",16.25,990,"flat"
4,3,135,1,0,"Sarria-Sant Gervasi",12.12,1500,"flat"
4,1,184,1,1,"Ciutat Vella",16.64,2800,"flat"
2,1,55,1,0,"Ciutat Vella",15.3,1050,"flat"
3,1,68,0,0,"Sarria-Sant Gervasi",12.21,800,"flat"
1,1,51,0,0,"Ciutat Vella",17.02,875,"flat"
2,2,85,1,1,"Eixample",52.98,4500,"flat"
2,1,63,0,1,"Eixample",12.25,875,"flat"
3,3,131,1,0,"Ciutat Vella",21.76,2400,"flat"
4,3,273,1,1,"Sarria-Sant Gervasi",16.29,4500,"flat"
1,1,48,1,0,"Ciutat Vella",15.32,726,"flat"
1,1,28,0,0,"Ciutat Vella",19.48,590,"flat"
2,1,93,1,0,"Eixample",20.59,1700,"flat"
3,3,73,1,0,"Eixample",17.18,2800,"flat"
2,1,19,1,0,"Ciutat Vella",31.26,580,"flat"
2,2,87,1,1,"Sant Martí",32.55,2700,"flat"
2,1,52,0,0,"Les Corts",18.05,950,"flat"
2,1,60,1,0,"Sant Martí",14.46,800,"flat"
2,1,64,1,0,"Ciutat Vella",11.87,795,"flat"
3,2,123,1,0,"Ciutat Vella",32.91,4000,"flat"
1,1,40,0,0,"Eixample",15.3,550,"flat"
4,2,142,1,1,"Horta- Guinardo",19.5,2500,"flat"
2,1,86,1,1,"Sant Martí",21.18,1800,"flat"
2,2,73,1,0,"Gràcia",8.66,750,"flat"
1,1,62,1,0,"Eixample",17.46,1100,"flat"
1,1,37,0,0,"Ciutat Vella",16.13,525,"flat"
1,1,51,1,0,"Eixample",15.29,800,"flat"
1,1,75,0,0,"Les Corts",14.45,950,"flat"
3,1,69,0,0,"Eixample",12.35,875,"flat"
4,2,158,1,0,"Eixample",15.3,1700,"flat"
2,1,63,1,0,"Eixample",18.75,1150,"flat"
4,2,123,1,1,"Les Corts",27.23,3000,"flat"
2,1,62,0,0,"Ciutat Vella",13.63,800,"flat"
3,3,268,0,0,"Ciutat Vella",4.55,1375,"flat"
3,2,108,1,0,"Gràcia",12.73,1297,"flat"
3,1,86,1,1,"Eixample",14.48,1306,"flat"
3,1,131,1,0,"Les Corts",18.26,2400,"flat"
2,1,56,0,0,"Gràcia",21.82,1195,"flat"
2,1,109,1,0,"Ciutat Vella",9.08,1000,"flat"
3,1,57,1,0,"Sant Martí",12.71,850,"flat"
1,1,80,1,1,"Sant Andreu",35.94,2800,"flat"
2,2,90,1,0,"Eixample",33.22,2700,"flat"
1,1,36,0,0,"Sarria-Sant Gervasi",15.42,550,"flat"
2,1,90,1,0,"Sant Martí",18.19,1500,"flat"
2,2,79,1,1,"Eixample",15.21,1250,"flat"
1,1,26,0,1,"Nou Barris",33.94,800,"flat"
1,1,52,1,0,"Ciutat Vella",17.36,1000,"flat"
1,1,26,0,0,"Sarria-Sant Gervasi",15.3,630,"flat"
1,1,62,1,0,"Gràcia",19.62,1150,"flat"
3,1,84,0,0,"Eixample",14.73,1160,"flat"
6,1,229,1,0,"Sant Martí",16.5,3500,"flat"
3,2,63,0,0,"Eixample",15.3,1703,"flat"
1,1,76,1,0,"Horta- Guinardo",21.91,1600,"flat"
2,1,106,0,0,"Horta- Guinardo",13.54,1260,"flat"
4,2,144,1,0,"Ciutat Vella",6.55,950,"flat"
4,2,182,1,0,"Sarria-Sant Gervasi",7.75,1500,"flat"
3,1,55,1,0,"Gràcia",13.17,775,"flat"
3,1,108,1,0,"Sant Andreu",9.55,1000,"flat"
3,2,73,1,0,"Sarria-Sant Gervasi",15.3,1200,"flat"
2,1,59,0,0,"Gràcia",26.16,1714,"flat"
3,2,158,1,1,"Sants-Montjuïc",15.58,2300,"flat"
2,2,60,1,0,"Eixample",15.63,900,"flat"
1,1,51,0,0,"Sarria-Sant Gervasi",36.13,2200,"flat"
1,1,31,1,0,"Sant Martí",13.99,475,"flat"
2,1,60,1,0,"Les Corts",13.22,775,"flat"
5,1,246,1,1,"Ciutat Vella",14.41,3500,"flat"
4,2,88,1,0,"Eixample",31.22,2700,"flat"
4,1,87,1,0,"Sarria-Sant Gervasi",11.15,900,"flat"
3,3,128,1,0,"Sant Martí",21.5,2900,"flat"
1,1,39,1,0,"Horta- Guinardo",16.02,650,"flat"
3,1,63,1,0,"Sants-Montjuïc",11.43,783,"flat"
1,1,60,0,1,"Eixample",19.09,1100,"flat"
1,1,73,1,0,"Eixample",14.48,750,"flat"
4,2,83,0,0,"Ciutat Vella",13.79,1200,"flat"
1,1,61,1,0,"Ciutat Vella",15.76,1000,"flat"
2,1,61,0,0,"Sant Martí",14.91,850,"flat"
1,1,46,1,1,"Gràcia",18.8,900,"flat"
1,1,47,1,1,"Sant Martí",20.46,950,"flat"
1,1,50,1,1,"Sant Martí",16.6,890,"flat"
